priority,week,category,action,detail,resource,estimated_time,status
1,Week 1,Phone Call,Call Carson & Trotter re broken SSL,"Call Dumfries reception and ask for partner G K Gray / L Brannock / S Harman. Say: 'I tried to visit your website and it's showing a browser security warning to every visitor — I wanted to flag it before it costs you new client enquiries.' Offer emergency fix + full rebuild. Phone: find via carsontrotter.co.uk or 01387 area directories. Website: carsontrotter.co.uk currently SSL broken.",market-intelligence/partnership-emails.md Email 3 + market-intelligence/07-prospect-hot-list.md #8,20,Pending
1,Week 1,Phone Call,Call Ian Lewis Plumber re mobile site,"Call Ian Lewis direct. Say: 'I was searching for a plumber in Auldgirth on my phone this morning — your name came up but the website doesn't display properly on mobile. I can fix that for under £1,000.' Show site on phone in person if you can visit. Business: ianlewisplumber.co.uk | Location: Auldgirth DG1 | Score 9.4/10.",market-intelligence/07-prospect-hot-list.md #1 + market-intelligence/11-ninety-day-sales-plan.md Week 3-4,15,Pending
1,Week 1,Phone Call,Call McRobert Plumbing re no contact form,"Call McRobert Plumbing in Dumfries. Say: 'I was looking at your site and noticed there's no contact form — just a phone and fax number. I build trade websites with a proper enquiry form for under £900.' The fax number is the conversation opener. Business: mcrobertplumbing.co.uk | Location: Dumfries | Score 8.4/10.",market-intelligence/07-prospect-hot-list.md #12 + market-intelligence/11-ninety-day-sales-plan.md Week 3-4,15,Pending
1,Week 1,Phone Call,Call Brighouse Bay Trekking re broken site,"Call Brighouse Bay Trekking in Kirkcudbright. Say: 'Your website is running on a platform from 2009 — no pricing, no booking, two low-res images. You're sitting next to a 5-star holiday park and invisible online. I can fix that.' Business: brighousebaytrekking.weebly.com | Location: Brighouse Bay Kirkcudbright | Score 9.3/10.",market-intelligence/07-prospect-hot-list.md #2,15,Pending
1,Week 1,Admin,Register Nith Digital on Google Business Profile,"Go to business.google.com. Create/claim listing. Category: 'Web Designer' (primary) + 'Internet Marketing Service' (secondary). Write 750-char description with keywords: web design Dumfries, website design Dumfries and Galloway. Upload 5+ photos. Enable messaging. Add services: Website Design, Hosting, SEO, Power BI, Booking Systems. Verify by postcard or phone. This is the single most important listing.",market-intelligence/directory-submissions.md #1 + market-intelligence/11-ninety-day-sales-plan.md Weeks 1-2,180,Pending
1,Week 1,Admin,Set up Bark.com professional profile,"Go to bark.com/en/gb/pro/ and register as a professional. Select 'Web Designer' AND 'Digital Marketing' as categories. Set location radius to cover all of D&G. Upload 2 portfolio examples with before/after descriptions. Profile bio must mention D&G specifically. Buy first £30 credit top-up to respond to leads. Webmill (your closest competitor) is already listed here and receiving leads.",market-intelligence/directory-submissions.md #2,30,Pending
1,Week 1,Directory,Register on Yell.com (free listing),"Go to yell.com/uklisting/ and create a free business listing under 'Web Design Services' for Dumfries & Galloway. Add 200-word description with natural mentions of 'web design Dumfries' and 'web designer D&G'. Upload logo and one portfolio image. Decline paid upgrade. Both Webmill and Creatomatic are listed here — you must be here too.",market-intelligence/directory-submissions.md #3,20,Pending
1,Week 1,Directory,Register on FreeIndex.co.uk,"Go to freeindex.co.uk/register/ and create a profile in 'Web Designers' category for Dumfries & Galloway. Add full services list: website design, SEO, hosting, Power BI, booking systems. Include link to nithdigital.uk/quote. High domain authority — listing helps Nith Digital appear in Google results. Both Creatomatic and Webmill listed here already.",market-intelligence/directory-submissions.md #4,15,Pending
1,Week 1,Admin,Create LinkedIn Company Page for Nith Digital,"Go to linkedin.com/company/setup/new. Add professional banner (1128x191px — D&G landscape or branded graphic). Write 200-word About section: what Nith Digital does, who for, where based. Add website nithdigital.uk, location Dumfries & Galloway Scotland, company size 1-10, industry Internet. Post intro post immediately. Connect with D&G Chamber, SOSE, and Business Gateway contacts.",market-intelligence/directory-submissions.md #12,30,Pending
1,Week 1,Content,Post Week 1 GBP post — Service Spotlight,"Go to business.google.com and post the Week 1 Update. Copy text exactly from gbp-post-schedule.md Week 1. Topic: 'What we do' intro to Nith Digital. Image: clean screenshot of nithdigital.uk homepage on laptop/phone or Nith Valley photo. Post on Tuesday or Wednesday at 9am. This is your first GBP post — establishes Nith Digital as an active, posting business.",market-intelligence/gbp-post-schedule.md Week 1,15,Pending
